,Algorithm,Accuracy,AUC,Error_rate
0,Decision Tree,0.9711538461538461,0.9718749999999999,0.028846153846153855
1,KNN,0.9807692307692307,0.9796875,0.019230769230769273
2,AdaBoost,0.9038461538461539,0.8937499999999999,0.09615384615384615
