,Algorithm,Accuracy,AUC,Error_rate
0,Decision Tree,0.9711538461538461,0.9718749999999999,0.028846153846153855
1,KNN,0.9519230769230769,0.9562499999999999,0.04807692307692313
2,AdaBoost,0.9423076923076923,0.9296875,0.05769230769230771
