,Algorithm,Accuracy,AUC,Error_rate
0,Decision Tree CV,0.9807692307692307,0.9796875,0.019230769230769273
1,KNN CV,0.9903846153846154,0.9921875,0.009615384615384581
2,AdaBoost CV,0.9423076923076923,0.9343750000000001,0.05769230769230771
