,Algorithm,Accuracy,AUC,Error_rate
0,Decision Tree,0.9711538461538461,0.9718749999999999,0.028846153846153855
1,KNN,0.9903846153846154,0.9921875,0.009615384615384581
2,AdaBoost,0.9423076923076923,0.9390625,0.05769230769230771
